tm,minTa,maxTa,avgTa,sumRn,hr1MaxRn
2020-08-05,25.825,30.7,28.1,16.099999999999998,6.0
2020-08-06,26.45,28.825000000000003,27.6,40.2,9.2
2020-08-07,26.7,29.25,27.925,1.3,0.9
2020-08-08,27.025,29.4,28.025,0.7,0.4
2020-08-09,26.55,31.1,28.325,0.2,0.2
2020-08-10,25.55,29.75,27.525,89.1,26.0
2020-08-11,26.15,30.125,28.099999999999998,57.9,32.7
2020-08-12,26.9,31.5,28.65,3.8,2.2
2020-08-13,27.325,32.1,28.975,0.0,
2020-08-14,27.075,32.3,29.35,0.0,
2020-08-15,26.75,32.474999999999994,29.075000000000003,0.0,
2020-08-16,26.6,31.55,28.75,0.0,
2020-08-17,25.65,31.575,28.35,0.0,
2020-08-18,25.4,31.2,28.175,0.0,
2020-08-19,24.575,31.7,27.95,0.0,
2020-08-20,24.55,31.25,27.7,0.0,
2020-08-21,24.7,30.625,27.675,0.0,
2020-08-22,24.575,32.125,27.35,56.5,50.2
2020-08-23,24.275,31.075,27.925,10.9,10.9
2020-08-24,25.775,32.975,29.225,0.0,
2020-08-25,25.625,32.35,28.925,80.3,25.0
2020-08-26,24.55,28.975,27.3,317.9,31.9
2020-08-27,26.05,29.075,27.3,0.7,0.7
2020-08-28,25.95,30.875,27.6,7.8999999999999995,2.8
2020-08-29,25.95,30.45,27.6,2.0,1.3
2020-08-30,25.25,30.925,27.575000000000003,0.0,
2020-08-31,25.4,31.0,27.875,0.0,0.0
2020-09-01,25.625,29.95,27.4,0.30000000000000004,0.2
2020-09-02,23.25,27.8,25.45,718.6999999999999,59.5
2020-09-03,21.75,28.65,24.7,3.4,1.8
2020-09-04,19.375,27.925,23.95,0.0,
2020-09-05,18.6,23.925,21.099999999999998,59.199999999999996,8.4
2020-09-06,20.05,23.525000000000002,21.925,153.3,21.6
2020-09-07,20.325,26.4,22.925,150.4,26.5
2020-09-08,22.15,28.55,25.375,0.1,0.1
2020-09-09,22.925,27.85,24.975,0.0,0.0
2020-09-10,21.3,27.1,24.1,0.3,0.3
2020-09-11,20.3,25.725,22.875,20.1,5.2
2020-09-12,20.450000000000003,25.55,22.700000000000003,1.5,0.6
2020-09-13,21.25,25.6,22.75,54.900000000000006,25.4
2020-09-14,21.05,25.95,22.8,4.8,3.3
2020-09-15,20.35,25.75,23.175,0.0,0.0
2020-09-16,20.375,26.95,22.65,62.699999999999996,9.4
2020-09-17,18.575,22.9,20.7,147.9,9.6
2020-09-18,17.8,22.125,20.025,31.6,5.0
2020-09-19,16.05,25.625,21.025,0.0,
2020-09-20,17.45,25.975,21.55,0.0,
2020-09-21,17.7,24.55,21.425,0.0,
2020-09-22,19.175,23.6,21.049999999999997,0.0,
2020-09-23,19.35,22.625,20.875,6.5,1.5
2020-09-24,20.150000000000002,22.625,21.2,0.0,0.0
2020-09-25,19.475,25.075,22.0,1.1,0.6
2020-09-26,19.375,24.625,21.625,2.0,0.9
2020-09-27,18.4,24.3,21.15,8.7,5.7
2020-09-28,18.75,23.8,20.775,0.0,
2020-09-29,17.175,24.025,20.55,0.0,
2020-09-30,18.325,24.25,21.15,0.0,
2020-10-01,18.0,24.7,20.85,0.0,
2020-10-02,16.9,25.075,21.0,0.0,
2020-10-03,19.425,25.15,21.975,0.0,0.0
2020-10-04,19.275,23.75,21.05,3.2,0.4
2020-10-05,16.1,20.8,18.15,0.0,0.0
2020-10-06,15.75,20.424999999999997,18.15,0.0,
2020-10-07,16.95,22.675,20.075,0.0,
2020-10-08,18.450000000000003,22.7,19.975,0.0,
2020-10-09,17.525,21.4,19.825,0.0,
2020-10-10,18.125,22.975,20.1,0.1,0.1
2020-10-11,17.3,23.575,20.025,0.0,0.0
2020-10-12,16.925,23.175,19.875,0.0,0.0
2020-10-13,15.825,20.85,18.125,0.0,
2020-10-14,14.85,21.674999999999997,18.475,0.0,
2020-10-15,15.25,20.425,17.65,0.0,0.0
2020-10-16,13.075,20.075,16.674999999999997,20.8,2.5
2020-10-17,12.75,20.55,17.075,0.0,
2020-10-18,14.525,20.675,17.5,0.0,
2020-10-19,14.175,21.325,17.575,0.0,
2020-10-20,14.975,23.1,18.825,0.0,
2020-10-21,15.9,22.225,18.525,123.1,12.0
2020-10-22,15.275,20.175,17.4,14.8,3.2
2020-10-23,13.65,16.95,14.975,0.0,
2020-10-24,12.775,17.675,14.95,0.0,0.0
2020-10-25,12.375,19.75,16.075,0.0,
2020-10-26,12.575,20.075,15.85,0.0,
2020-10-27,13.1,20.475,16.5,0.0,
2020-10-28,15.025,20.4,17.6,0.0,
2020-10-29,12.95,18.7,15.7,0.0,
2020-10-30,12.825,18.475,16.025,0.0,
2020-10-31,13.075,20.125,16.35,0.0,
2020-11-01,12.649999999999999,22.150000000000002,17.775,5.3,
2020-11-02,12.675,18.175,15.375,21.8,
2020-11-03,10.850000000000001,15.85,13.0,0.0,
2020-11-04,8.6,15.0,11.725,0.0,
2020-11-05,7.875,18.725,14.475,0.0,
2020-11-06,14.4,21.825,18.125,0.6,
2020-11-07,14.725,21.25,17.925,0.0,
2020-11-08,11.225,18.95,14.7,0.0,
2020-11-09,9.675,14.275,11.875,0.0,
2020-11-10,8.275,17.85,12.875,0.0,
2020-11-11,8.725,16.475,12.55,0.0,
2020-11-12,11.225,19.025,14.65,0.0,
2020-11-13,10.8,18.75,14.875,0.0,
2020-11-14,12.925,20.65,16.625,0.0,
2020-11-15,13.3,20.35,16.8,0.1,
2020-11-16,14.875,20.2,17.225,4.5,
2020-11-17,16.675,24.6,20.625,3.8,
2020-11-18,19.9,24.025,21.799999999999997,0.0,
2020-11-19,15.725,23.275,19.825,16.7,
2020-11-20,11.375,16.0,13.425,0.0,
2020-11-21,8.575,17.4,13.95,0.0,
2020-11-22,11.35,16.475,13.7,9.600000000000001,
2020-11-23,8.925,12.275,10.25,0.0,
2020-11-24,8.675,13.275,10.8,0.0,
2020-11-25,9.649999999999999,15.05,12.2,0.0,
2020-11-26,9.475,13.55,11.75,11.5,
2020-11-27,8.55,13.4,11.175,0.0,
2020-11-28,7.325,10.1,8.4,0.0,
2020-11-29,7.0249999999999995,12.0,9.05,0.0,
2020-11-30,6.65,10.775,8.35,0.30000000000000004,
2020-12-01,5.475,10.450000000000001,7.65,0.0,
2020-12-02,6.55,12.725,9.625,0.0,
2020-12-03,5.9,11.5,8.475,0.0,
2020-12-04,5.875,9.825,7.675,0.0,
2020-12-05,5.05,11.65,8.45,0.0,
2020-12-06,5.5,11.725,8.75,0.0,
2020-12-07,7.0,13.5,10.275,0.0,
2020-12-08,6.025,11.1,8.275,0.0,
2020-12-09,4.55,11.725,7.875,0.0,
2020-12-10,7.324999999999999,13.15,10.625,0.0,
2020-12-11,8.875,12.5,11.05,0.4,
2020-12-12,6.275,12.075,9.675,0.0,
2020-12-13,5.475,14.95,9.175,0.1,
2020-12-14,1.45,5.85,3.075,0.6,
2020-12-15,0.75,5.1,2.475,2.1,
2020-12-16,1.85,5.8,3.625,4.3,
2020-12-17,2.3499999999999996,7.975,5.25,0.1,
2020-12-18,4.825,10.350000000000001,7.1,0.0,
2020-12-19,2.275,6.675,4.45,0.0,
2020-12-20,2.8,8.175,6.125,1.3,
2020-12-21,4.675,10.15,7.05,0.0,
2020-12-22,4.875,13.25,8.4,0.0,
2020-12-23,4.6,15.5,10.375,0.0,
2020-12-24,7.375,14.0,10.675,0.0,
2020-12-25,4.65,10.025,6.925,0.0,
2020-12-26,4.1,11.625,7.625,0.0,
2020-12-27,8.375,12.45,10.6,116.0,
2020-12-28,7.85,15.2,11.425,0.2,
2020-12-29,4.65,14.774999999999999,10.225,12.4,
2020-12-30,-1.9249999999999998,5.475,0.725,16.5,
2020-12-31,-1.025,4.225,2.275,10.2,
2021-01-01,2.75,6.825,4.85,1.3,
2021-01-02,2.425,8.9,5.65,0.0,
2021-01-03,2.3,6.625,4.4,0.0,
2021-01-04,2.05,9.575,6.0,0.0,
2021-01-05,2.8,8.925,5.725,0.0,
2021-01-06,1.55,5.5,3.3,4.1,
2021-01-07,-3.4749999999999996,3.425,-1.775,25.0,
2021-01-08,-3.3,0.75,-1.525,19.799999999999997,
2021-01-09,-2.5,2.825,0.375,13.9,
2021-01-10,-1.025,5.05,2.825,1.6,
2021-01-11,1.7000000000000002,5.3,3.5,22.200000000000003,
2021-01-12,1.475,6.95,4.3,6.8999999999999995,
2021-01-13,4.65,13.0,9.775,0.0,
2021-01-14,7.05,15.175,11.075000000000001,0.0,
2021-01-15,8.925,17.45,13.35,0.0,
2021-01-16,2.5,9.3,5.475,0.0,
2021-01-17,0.675,4.675,2.55,5.8,
2021-01-18,2.3499999999999996,9.85,6.4,0.0,
2021-01-19,1.125,7.074999999999999,3.9749999999999996,0.0,
2021-01-20,2.775,14.45,9.425,0.0,
2021-01-21,7.75,17.325,13.1,2.9000000000000004,
2021-01-22,11.225,15.05,12.7,37.2,
2021-01-23,10.95,14.35,12.675,125.7,
2021-01-24,9.975000000000001,13.825,11.45,0.6,
