"행정구역별","항목","단위","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"양주시","논벼:재배면적[ha]","ha","2680","2605","2548","2414","2259","2209","2125","2057","1949","1887","1863","1791","1727","1713","1664","1627","1521","1342.8297","1292.5997","1293.7424","1197.2871","1165.7023","1167.454","1166.8512","1112.7493",
"양주시","논벼:10a당 생산량[kg]","kg","480","450","488","440","464","463","476.52983","461.30934","470.53102","485.87277","408.59369","395.1905","447.03189","394.37865","481.86793","503.0119","511.65247","480.0727","497.67351","482.40444","465.56402","507.0894","488.7254","480.6579","482.8974",
"양주시","논벼:생산량[톤]","톤","12868","11729","12425","10629","10491","10237","10126","9489.13319","9170.64963","9168.41922","7612.10041","7077.86183","7720.24066","6755.70631","8018.28242","8184.00358","7782.23406","6446.55879","6432.92634","6241.07079","5574.13797","5911.1532","5705.6447","5608.5629","5373.4373",
"포천시","논벼:재배면적[ha]","ha","5587","5588","5463","5254","5102","4903","4698","4621","4530","4304","4205","3743","3722","3634","3484","3071","3397","3351.4409","3222.7194","2972.9669","2678.5921","2792.8125","2790.3963","2693.2158","2684.2149",
"포천시","논벼:10a당 생산량[kg]","kg","479","480","470","447","498","486","468.55038","457.94559","490.03144","525.52343","402.64124","417.60132","469.35377","407.33676","520.87024","535.17208","498.25141","451.6065","490.82881","483.55966","465.04574","522.4037","503.6183","503.7971","499.2519",
"포천시","논벼:생산량[톤]","톤","26778","26837","25679","23484","25414","23818","22012","21161.66549","22198.4241","22618.52862","16931.06418","15630.81747","17469.34737","14802.61773","18147.11927","16435.13463","16925.60033","15135.32495","15818.03519","14376.0685","12456.67851","14589.7565","14052.946","13568.3421","13400.9935",
"여주시","논벼:재배면적[ha]","ha","10165","10011","9894","9837","9531","9412","9282","9217","8975","8851","8102","8137","8053","8097","7948","7876","7674","7462.7854","7196.7651","6849.0889","6960.2214","6813.1553","6791.4077","6791.5942","6903.4729",
"여주시","논벼:10a당 생산량[kg]","kg","484","490","467","410","461","469","448.45165","455.13835","511.81548","506.54252","414.32575","460.51511","468.40707","462.1487","482.78954","512.33812","539.4597","484.3874","501.93934","500.87973","449.68837","512.5994","503.7389","502.2251","520.7059",
"여주시","논벼:생산량[톤]","톤","49214","49040","46159","40309","43934","44102","41625","41950.10173","45935.43934","44834.07878","33568.67256","37472.11434","37720.8217","37420.18003","38372.11298","40351.75024","41398.13773","36148.79221","36123.39507","34305.69806","31299.30617","34924.1953","34210.9642","34109.0915","35946.7888",
"연천군","논벼:재배면적[ha]","ha","4780","4877","4805","4790","4595","4569","4332","4309","4293","4231","4169","3876","3922","4104","3819","3871","3368","3151.3977","3173.7241","3119.4007","3180.0858","2925.613","3106.8931","2901.3941","2926.6637",
"연천군","논벼:10a당 생산량[kg]","kg","478","503","498","464","529","490","484.98944","461.91465","503.67713","516.43519","406.6032","414.64573","420.06529","351.15751","514.82561","524.48805","519.15289","493.4973","506.06091","478.12304","473.26402","532.23","509.6508","506.2425","500.4969",
"연천군","논벼:생산량[톤]","톤","22833","24526","23926","22245","24304","22395","21010","19903.90239","21622.85901","21850.3727","16951.28737","16071.66843","16474.96077","14411.50418","19661.19007","20302.93228","17485.06926","15552.06252","16060.97706","14914.57331","15050.20174","15570.9896","15834.3056","14688.0896","14647.8607",
"가평군","논벼:재배면적[ha]","ha","1978","1995","1950","1676","1539","1414","1523","1481","1346","1344","1240","1144","1161","1207","1205","1079","866","763.7444","764.9725","795.6179","760.1433","804.2548","779.6605","766.8955","743.1833",
"가평군","논벼:10a당 생산량[kg]","kg","457","466","411","366","457","457","406.41475","401.1034","470.53102","485.87277","408.59369","395.1905","447.03189","394.37865","481.86793","503.0119","492.95538","456.29569","442.73222","441.42185","446.13422","483.2588","471.4946","458.0307","450.3943",
"가평군","논벼:생산량[톤]","톤","9043","9289","8006","6128","7036","6467","6190","5940.34139","6333.34757","6530.13007","5066.56173","4520.9793","5190.04019","4760.15033","5806.50861","5427.49838","4268.99358","3484.93279","3386.77972","3512.03129","3391.25936","3886.6318","3676.0569","3512.6168","3347.2551",
"양평군","논벼:재배면적[ha]","ha","5714","5750","5630","5485","5313","5033","5092","5024","5087","4944","4826","4678","4590","4360","4290","4296","3491","3189.4226","2912.3026","3158.9706","2900.247","3119.265","3016.7012","3031.433","3048.341",
"양평군","논벼:10a당 생산량[kg]","kg","469","481","460","401","465","460","475.50959","433.5305","454.27745","502.03222","381.43684","425.20262","445.47049","457.2152","476.33593","479.98629","482.31316","468.05424","477.02123","467.76706","459.29851","481.7037","472.9395","472.8321","469.2289",
"양평군","논벼:생산량[톤]","톤","26801","27679","25912","21978","24690","23158","24213","21780.5722","23109.09391","24820.47285","18408.14179","19890.97878","20447.09567","19934.58263","20434.81159","20620.21088","16837.55228","14928.22786","13892.30171","14776.62378","13320.79128","15025.6146","14267.1714","14333.5885","14303.6955",
"강원도","논벼:재배면적[ha]","ha","47166","46800","46460","44719","43646","43814","42205","41824","40806","40420","38809","35914","34772","33947","33107","32299","30714","29710.2409","29005.3715","28640.097","28405.2347","28902.8287","28707.9803","28333.3113","27650.5906",
"강원도","논벼:10a당 생산량[kg]","kg","472","492","439","429","468","474","450.66409","448.35982","486.88438","517.8116","453.68212","475.90452","470.70986","468.35843","533.26067","537.70713","541.7599","499.3112","530.74303","526.88568","448.46438","538.0143","501.2825","528.3884","527.6294",
"강원도","논벼:생산량[톤]","톤","222744","230102","203816","192060","204232","207469","190203","187522.00952","198678.04059","209299.44682","176069.4943","170916.34938","163675.2327","158993.6356","176546.61066","173674.02494","166396.13427","148346.55995","153943.98672","150900.56873","127387.36011","155501.3488","143908.0742","149709.9417","145892.6445",
"춘천시","논벼:재배면적[ha]","ha","2928","2852","2820","2732","2557","2487","2395","2337","2239","2196","2082","1758","1519","1555","1659","1447","1545","1503.8732","1433.6153","1411.813","1367.4162","1234.459","1135.4046","1170.1111","1143.7301",
"춘천시","논벼:10a당 생산량[kg]","kg","454","440","469","439","451","439","427.90347","427.57123","486.228","478.50757","442.2648","450.33353","448.92754","455.06549","513.64309","545.2433","566.11208","547.72155","558.43488","501.83","468.24644","514.1362","501.2198","522.6469","499.1986",
"춘천시","논벼:생산량[톤]","톤","13302","12551","13227","11992","11538","10906","10248","9992.33973","10886.64503","10508.02616","9207.95308","7916.86341","6819.20932","7076.26835","8521.33887","7889.67052","8746.43159","8237.03761","8005.80792","7084.90121","6402.87763","6346.8005","5690.8728","6115.5493","5709.4846",
"원주시","논벼:재배면적[ha]","ha","4684","4642","4741","4608","4442","4363","4144","4331","4190","4177","4104","3845","3689","3525","3543","3588","2991","2875.6037","2794.1745","2783.8098","2785.467","3066.7108","3124.3779","3076.4939","2833.8938",
"원주시","논벼:10a당 생산량[kg]","kg","464","520","444","405","458","470","430.68538","452.28019","479.54492","505.22149","442.72972","455.20336","486.89744","491.50414","503.89162","520.34377","523.78248","499.61755","523.6773","518.90927","465.72271","528.2995","493.5025","517.8583","523.0031",
"원주시","논벼:생산량[톤]","톤","21734","24119","21061","18672","20355","20514","17848","19588.2549","20092.93213","21103.10168","18169.62786","17502.56916","17961.64653","17325.52087","17852.87997","18669.93454","15666.3339","14367.0207","14632.45758","14445.44715","12972.55239","16201.4165","15418.8821","15931.8801","14821.3535",
"강릉시","논벼:재배면적[ha]","ha","3937","4005","3927","3487","3362","3379","3288","3263","3249","3275","3108","2864","2937","2835","2794","2767","2363","2416.9691","2379.3358","2276.3701","2209.2832","2480.3216","2420.0204","2394.6894","2260.3005",
"강릉시","논벼:10a당 생산량[kg]","kg","451","463","334","396","451","471","469.10518","445.47075","468.99388","515.84845","443.29668","486.7204","393.97446","463.36496","478.72518","484.69054","509.67828","447.43507","449.22065","531.9639","418.69456","522.4949","504.1996","472.2178","527.5256",
"강릉시","논벼:생산량[톤]","톤","17752","18540","13114","13812","15163","15920","15424","14535.71072","15237.61102","16894.03685","13777.66097","13939.67239","11571.03002","13136.39662","13375.58161","13411.38719","12043.69787","10814.36735","10688.46785","12109.46707","9250.14846","12959.5537","12201.7339","11308.15","11923.6649",
"동해시","논벼:재배면적[ha]","ha","362","341","327","273","249","277","276","273","281","294","273","250","242","261","210","221","179","152.1775","139.2797","142.1367","133.4644","108.2027","99.1238","105.7116","100.9802",
"동해시","논벼:10a당 생산량[kg]","kg","430","492","375","394","455","469","483.64588","433.6892","490.57129","500.70499","467.20494","482.15517","489.22281","460.19116","520.99404","537.05537","501.23901","500.84999","505.64663","504.24604","456.23426","486.9875","466.9925","477.0739","507.2593",
"동해시","논벼:생산량[톤]","톤","1557","1678","1226","1075","1132","1299","1335","1183.97151","1378.50533","1472.07267","1275.46948","1205.38793","1183.91919","1201.09894","1094.08749","1186.89237","897.21782","762.18099","704.26311","716.71868","608.91032","526.9336","462.9007","504.3225","512.2314",
"태백시","논벼:재배면적[ha]","ha","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","",
"태백시","논벼:10a당 생산량[kg]","kg","135","420","383","330","362","365","","","","","","","","","","","","","","","","","","","",
"태백시","논벼:생산량[톤]","톤","1","4","4","3","4","4","","","","","","","","","","","","","","","","","","","",
"속초시","논벼:재배면적[ha]","ha","479","467","465","440","430","427","406","342","299","296","277","277","266","267","190","198","312","303.1547","297.7734","305.2275","299.1521","237.5529","254.8176","263.0622","257.7017",
"속초시","논벼:10a당 생산량[kg]","kg","460","479","282","409","435","460","433.85692","424.0811","441.66296","519.90069","464.82325","473.09866","417.13169","484.76558","499.7273","521.11816","500.61114","466.12251","444.25014","504.41472","427.08672","515.7393","478.7407","480.6806","507.4869",
"속초시","논벼:생산량[톤]","톤","2204","2238","1313","1801","1870","1965","1761","1450.35736","1320.57224","1538.90603","1287.56041","1310.48328","1109.57029","1294.32409","949.48187","1031.81395","1561.90676","1413.07229","1322.85875","1539.61245","1277.6389","1225.1538","1219.9157","1264.489","1307.8025",
"삼척시","논벼:재배면적[ha]","ha","1085","1023","1047","920","812","810","926","977","919","917","869","739","705","745","789","762","615","621.9612","690.1754","688.2229","700.5428","578.0804","572.2684","577.545","567.1771",
"삼척시","논벼:10a당 생산량[kg]","kg","468","495","374","368","454","436","425.38272","433.6892","490.57129","500.70499","467.20494","482.15517","489.22281","460.19116","520.99404","537.05537","501.23901","500.84999","499.44437","502.06904","418.26122","486.9875","466.9925","477.0739","507.2593",
"삼척시","논벼:생산량[톤]","톤","5077","5069","3921","3382","3689","3531","3939","4237.14345","4508.35018","4591.46476","4060.01092","3563.12673","3449.02079","3428.42417","4110.64301","4092.36191","3082.61988","3115.09261","3447.04215","3455.35413","2930.09887","2815.1793","2672.4506","2755.3165","2877.0583",
"홍천군","논벼:재배면적[ha]","ha","5151","5122","5074","4872","4827","4619","4244","4056","3935","3886","3657","3454","3219","2871","2579","2345","2392","2182.1644","2268.7959","2257.2939","2046.2824","2192.6828","2135.4984","2099.8505","2082.9394",
"홍천군","논벼:10a당 생산량[kg]","kg","472","461","480","392","450","478","455.42319","458.14662","484.93221","528.87451","424.83772","425.04047","478.71163","455.60902","522.6425","522.73183","514.49684","501.46478","538.16401","510.05659","468.72467","530.349","530.8217","525.7047","501.8099",
"홍천군","논벼:생산량[톤]","톤","24299","23623","24359","19075","21699","22062","19328","18582.42692","19082.08238","20552.06348","15536.31543","14680.89788","15409.72733","13080.53487","13478.95011","12258.06142","12306.76434","10942.78591","12209.84302","11513.47631","9591.43035","11628.872","11335.6899","11039.0123","10452.3956",
